Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate,UpdateDate
Amazon lockers are so good. Helping many customers to get their order delivered fast., ,Anjali Bansal,0.7857,0.0,58.099999999999994,41.9,2019-06-12 19:45:08,2019-06-12 19:45:08
this is a common thing sweden, ,Kaplel,0.0,0.0,100.0,0.0,2019-05-31 13:41:29,2019-05-31 13:41:29
I didn't know this existed until now. Brilliant. Now I don't even have to talk to anyone., ,Rich Smith,0.5859,0.0,78.7,21.3,2019-05-17 08:44:36,2019-05-17 08:44:36
\U0001f602, ,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:27,2019-03-28 23:58:27
How to get a vape, ,T aviation68,0.0,0.0,100.0,0.0,2019-03-28 23:58:20,2019-03-28 23:58:20
"thank you, these are great! I have a terrible and overly complicated setup at my apartment the packages never arrive. this is just so perfect.", ,nino,0.8602,9.2,56.3,34.5,2019-03-09 00:27:39,2019-03-09 00:27:39
Looks like I have to start using this since some jackass in my apartment building has sticky fingers., ,ilovepink86,-0.0772,13.8,73.9,12.3,2019-02-27 03:53:27,2019-02-27 03:53:27
Cool little review and knowledgeable, ,franco Jr,0.3182,0.0,63.5,36.5,2019-02-14 19:12:20,2019-02-14 19:12:20
This was the best how to video. Thanks chap!, ,jubeiBrow,0.8122,0.0,48.6,51.4,2019-01-24 23:53:38,2019-01-24 23:53:38
"Thanks, informative video!", ,noSwearINGonMyCHRISTIANsERVER,0.4926,0.0,38.5,61.5,2019-01-09 04:16:58,2019-01-09 04:16:58
I'd like to ask for how long product may be kept in locker ?, ,Matthew MT,0.3612,0.0,82.8,17.2,2018-12-25 20:43:38,2018-12-25 20:43:38
Matthew MT Three days., ,Charles Lyell,0.0,0.0,100.0,0.0,2019-04-10 01:02:51,2019-04-10 01:02:51
"I'm trying it for the first time.....More importantly,there is a liquor store attached to the store where the locker is......", ,James Darr,0.0,0.0,100.0,0.0,2018-12-24 19:41:32,2018-12-24 19:41:32
Wow coool. Nice \U0001f44d\U0001f3fc idea, ,Gladiator Spear,0.765,0.0,31.2,68.8,2018-12-23 09:37:34,2018-12-23 09:37:34
"Thank you, I wasn\u2019t sure what to expect in using the locker.", ,mochakreme,0.5859,0.0,65.2,34.8,2018-12-22 20:48:16,2018-12-22 20:48:16
Amazon locker=no more porch pirates, ,Anu Miller,0.1779,0.0,70.19999999999999,29.799999999999997,2018-12-08 05:54:08,2018-12-08 05:54:08
Pretty much nonsense to put an Amazon Locker into a grocery store or is it 24/7 ?, ,Zardoz,0.296,13.8,61.199999999999996,25.0,2018-12-05 13:59:42,2018-12-05 13:59:54
This video is extremely British lol., ,Viq,0.4728,0.0,61.9,38.1,2018-12-02 17:05:25,2018-12-02 17:05:25
this is a life saver so your parents don't know what you order, ,Its Volatile,0.0,0.0,100.0,0.0,2018-11-25 21:59:09,2018-11-25 21:59:09
i just checked and you can't buy 18+ stuff to send to the locker this in UK, ,blocET,0.0,0.0,100.0,0.0,2019-06-07 15:49:35,2019-06-07 15:49:35
This is what I'm gonna do cause I'm gonna start a lipgloss business so exited !!!!\U0001f60a, ,xolaylayxo,0.0,0.0,100.0,0.0,2019-05-05 11:47:07,2019-05-05 11:47:07
@xpikez hagahahah, ,FaithNoMoreAddict 6,0.0,0.0,100.0,0.0,2019-04-03 00:48:29,2019-04-03 00:48:29
Pocket pussy, ,xPikez,0.0,0.0,100.0,0.0,2019-02-12 23:04:12,2019-02-12 23:04:12
@Its Volatile lol, ,Chance Hagler,0.4215,0.0,41.699999999999996,58.3,2018-12-20 23:58:03,2018-12-20 23:58:03
@Geovany Veleta nibba no, ,Its Volatile,-0.296,42.3,57.699999999999996,0.0,2018-11-29 15:40:12,2018-11-29 15:40:12
Its Volatile stop buying vape online., ,Geovany Veleta,-0.296,30.599999999999998,69.39999999999999,0.0,2018-11-29 07:07:06,2018-11-29 07:07:06
Very Helpful, ,Fish N Dishin,0.4754,0.0,24.4,75.6,2018-11-16 03:01:03,2018-11-16 03:01:03
"I like it!!!\n\nI\u2019ve ordered expensive/fragile/highly precious items off of Amazon, and the one thing I\u2019m always afraid of is it getting damage due to weather or it getting stolen. \n\nWith smaller/cheaper/easily replaceable items I can make due, but something like a new graphics card kind of puts me on the edge when it\u2019s in delivery. \n\nThis is a perfect solution to that. It\u2019s basically a one time P.O box for Amazon!!!", ,Luciano Martinez,0.9405,5.2,70.3,24.6,2018-11-15 07:30:40,2018-11-15 07:30:40
I was curious about these lockers since they\u2019re at Whole Foods and saved about $10 in shipping straight to opt out from the P.O. Box. Either way can\u2019t wait to experience this when my stuff comes in. :), ,Rachael,0.8402,0.0,76.7,23.3,2018-10-29 22:06:11,2018-10-29 22:07:53
He says Lets Go have a Go, ,GracefulRaven1.1,0.0,0.0,100.0,0.0,2018-10-26 08:09:39,2018-10-26 08:09:39
"Nice video but the information is out of date.\nAs of writing this Amazon doesn't charge a fee anymore to non Prime members to use the Amazon locker in the US. \nAlso you only have 3 days to collect your shipment from the locker after delivery, not 5. \nOf course you're in the UK so maybe Amazon's rules are still different there.", ,420GratefulHippie,0.6731,0.0,89.60000000000001,10.4,2018-10-17 14:31:40,2018-10-17 14:31:40
These locker boxes just got installed at my apartment community. Who ever layed the concrete foundation for the locker box row to sit on didn't level it so the whole unit is slanted. Dumb asses\nUpdate: they also can't take rain. They leak, ,Laserlite 3000,-0.6908,12.5,87.5,0.0,2018-09-29 21:01:29,2018-10-14 06:55:11
Brilliant, ,Brian Westfield,0.5859,0.0,0.0,100.0,2018-08-29 22:11:50,2018-08-29 22:11:50
Is this only for small sized items?, ,Kristy B,0.0,0.0,100.0,0.0,2018-08-24 05:41:50,2018-08-24 05:41:50
I wish these were the school lockers, ,T-pose,0.4019,0.0,64.9,35.099999999999994,2018-08-22 22:34:18,2018-08-22 22:34:18
it was cheaper than standard delivery, ,Robert k,0.0,0.0,100.0,0.0,2018-08-13 22:04:41,2018-08-13 22:04:41
"why do i have to pay tax, i want it delivered to a locker in new york but i have to pay 36 dollar tax", ,Fortnite Momenten,-0.1655,12.8,82.0,5.2,2018-07-31 21:33:03,2018-07-31 21:33:03
Anytime i see a locker delivery on my itinerary i get a huge smile on my face. Locker deliveries take a ton of stress of a driver like myself that makes 150 to 220 stops a day., ,Zach Wachs,0.4404,12.0,68.10000000000001,19.900000000000002,2018-07-20 06:05:35,2018-07-20 06:05:35
Lol great how to video. Thanks!, ,OhhMyy,0.8777,0.0,22.900000000000002,77.10000000000001,2018-07-13 18:23:42,2018-07-13 18:23:42
Doing my first locker pickup tomorrow. This video will come in handy :), ,Albert,0.4588,0.0,80.0,20.0,2018-06-27 02:53:36,2018-06-27 02:54:16
"Thank you for showing us this.  I wanted to try AmLcker, and I didn't know what to expect.  But, I sent a small item that I just got to a ALkr and can't wait to see how it works.  But, loved your video to make me understand the process.  Good job.  Liked.", ,Poe Lemic,0.9398,0.0,74.1,25.900000000000002,2018-06-21 04:27:20,2018-06-21 04:27:20
Is there a way to tell if the locker is indoors?  The onle I used was outside - I would rather pickup inside especially if there is bad weather, ,John Ambrose,-0.5423,12.7,87.3,0.0,2018-06-09 15:25:44,2018-06-09 15:25:44
've got an Amazon locker in my local shopping mall I don't use it though as I'm almost always in wierdly its next to the coach station (yes my local mall has a coach sation), ,shadowXXe,0.1779,0.0,95.0,5.0,2018-04-01 10:06:07,2018-04-01 10:06:07
"I wanted to buy a TV stand, but the lockers look too small for that. Should I just have them deliver to my door instead?", ,T'was an old username and I'll change it soon.,0.0,0.0,100.0,0.0,2018-03-25 09:47:25,2018-03-25 09:47:25
amazing vid made me subscribe, ,paddy barry,0.5859,0.0,51.300000000000004,48.699999999999996,2018-03-21 19:05:50,2018-03-21 19:05:50
Why people don't just get a DropSak for 30 Bucks???, ,Bronx & Harlem apartment rentals,0.0,0.0,100.0,0.0,2018-03-09 02:10:55,2018-03-09 02:10:55
"thanks. i decided to test out Amazon Locker just to be sure it was a  viable option in my area and your vid answered all my questions. The only issue is that I have to call the store and find out their hours during the day as unlike the store you went to, I doubt my local store is open all that early or late (its a college bookstore).", ,Joe R,0.5267,3.5999999999999996,86.5,9.9,2018-02-02 07:33:26,2018-02-02 07:33:26
Wish we had this where I live., ,hei\xf0inn,0.4019,0.0,64.9,35.099999999999994,2017-12-10 04:34:19,2017-12-10 04:34:19
with amazon prime do you also have a subscription to their video streaming service? And what are the other advantages?, ,EaqIe,0.5514,0.0,78.8,21.2,2017-11-27 03:06:15,2017-11-27 03:06:15
"Movies, Amazon Music, Free delivery (on selected products), same day/one day delivery, giveaway, and a tons of other advantages.", ,MegaAgente17,0.7579,0.0,66.7,33.300000000000004,2017-12-07 08:07:23,2017-12-07 08:07:23
\U0001f608\U0001f608\U0001f608\U0001f608\U0001f608, ,Still Monday,0.0,0.0,100.0,0.0,2017-11-21 09:20:05,2017-11-21 09:20:05
Your accent reminds me of Mr. Bean for some reason lol I love it though so it's def not meant as an insult, ,LilMizzLae,0.5719,11.3,64.8,23.9,2017-11-19 03:43:58,2017-11-19 03:43:58
Well now that I got my package I'm going to buy me some vodka and get fucked up!, ,Nomadic Cheese,-0.5562,21.5,68.8,9.6,2017-10-20 18:37:37,2017-10-20 18:37:37
I love this video, ,Amy Russell,0.6369,0.0,32.300000000000004,67.7,2017-10-19 15:52:57,2017-10-19 15:52:57
P.o. Box??, ,meek miLL,0.0,0.0,100.0,0.0,2017-10-16 02:46:21,2017-10-16 02:46:21
you get a like for your purchase there at the end, ,nunya biz,0.3612,0.0,78.3,21.7,2017-10-14 07:27:04,2017-10-14 07:27:04
GEIL!, ,Rofl Kahn,0.0,0.0,100.0,0.0,2017-09-17 22:46:26,2017-09-17 22:46:26
Or Tell them just leave it somewhere, ,DarklingGolem50,-0.0516,16.7,83.3,0.0,2017-09-13 19:48:57,2017-09-13 19:48:57
Very clear and helpful. Thank you Techmoan.\nI just wish that you'd have mentioned both how popular they are and quickly they fill up., ,beingsshepherd,0.9179,0.0,56.3,43.7,2017-09-07 00:50:16,2017-09-07 01:00:19
this makes fraud through amazon so easy?, ,sam n\xf6,0.1633,28.7,30.2,41.099999999999994,2017-08-19 13:14:39,2017-08-19 13:14:39
"Well I didn't have any boxes so I just put my item in a shoebox to return it but the locker I got was too small, sooo I kinda had to squish the box and shove it in there, but it was still taped close and probably had the return sheet intact! I'm sure they can figure it out.. lol", ,flanboy,0.8655,0.0,82.69999999999999,17.299999999999997,2017-08-11 22:30:45,2017-08-11 22:30:45
"Postamt Langen ist Korrupt und Bestechlich:\n\n1- Ulrich Klein, Gruppenf\xfchrer\n2- Michael Petermann, Stellvertreter\n3- Marko M\xfcller, Assistent.", ,\u062d\u0643\u0648\u0645\u0629 \u0623\u0642\u0628\u0627\u0637 \u0627\u0644\u0645\u0647\u062c\u0631 \u0641\u0627\u064a\u0632 \u0646\u062c\u064a\u0628 \u062a\u0631\u064a\u0627\u0642,0.0,0.0,100.0,0.0,2017-07-13 05:10:22,2017-07-13 05:10:22
isnt the locker free when i spend over 20 pounds?, ,hi there,-0.4023,25.2,74.8,0.0,2017-07-10 18:26:16,2017-07-10 18:26:16
I wish we had Pimms in cans in the US., ,Christian Tarr,0.4019,0.0,74.8,25.2,2017-06-22 00:37:34,2017-06-22 00:37:34
Letting kids buy gift cards and buy underaged items easily, ,DerpiestNoob,0.6486,0.0,60.199999999999996,39.800000000000004,2017-06-14 23:04:18,2017-06-14 23:04:18
"This is a wonderful idea. Too bad they aren't everywhere yet. My area recently got prime now, a sort center facility (I got a job there), and I recently found job posting for a mall pop-up store. I'm hoping that means lockers are coming soon. I read that they already have lockers in the other major city in my state that also got a new warehouse last year. So my fingers are crossed that this experience comes near me soon!\n\nAlso there are rumors that Amazon is looking to tap into gas stations. I could see them partnering with a company like BP and having a pop-up/locker set up along with regular convenient store offerings. With the many BP gas stations in the US they could certainly have a major physical stretch throughout the US.", ,Leo Theo,0.8356,2.6,87.4,10.0,2017-06-14 15:19:53,2017-06-14 15:19:53
Awesome )O_-( WooW GOOD VIDEO ;) Crack, ,All Music Free Music without copyright,0.8636,0.0,29.299999999999997,70.7,2017-05-13 11:07:34,2017-05-13 11:07:34
I just tried this out for myself today on a return.  Much faster than waiting in line at ups.  :), ,David's Focus,0.4588,0.0,85.0,15.0,2017-05-05 20:03:07,2017-05-05 20:03:07
Ha ha Russian Standard Vodka, ,Ourwonderfulworld 82,0.5859,0.0,38.5,61.5,2017-05-01 10:48:21,2017-05-01 10:48:21
i like your accent. it reminds me of my trip to Australia. what a beautiful country..., ,Wang Zihao,0.7506,0.0,65.2,34.8,2017-04-25 07:11:04,2017-04-25 07:11:04
I assume you were around mostly British people in Australia then., ,Eluziv3,0.0,0.0,100.0,0.0,2017-10-02 20:32:13,2017-10-02 20:32:13
Good Video, ,Free Music Downloader - All Music,0.4404,0.0,25.6,74.4,2017-04-24 10:45:37,2017-04-24 10:45:37
I find the PassMyParcel service is far better. Today when I used Amazon Locked I have 2 orders and was given two codes. The 2nd coda failed.I then wondered if it was possible that both orders were in the same locker. The only way I could test this was to open my parcels in the shopping centre and yes I did have every thing but a bed experience and I won't use it again., ,Robert Fletcher,0.4854,0.0,92.4,7.6,2017-03-26 00:00:58,2017-03-26 00:00:58
"I don't know how long we've had it in the states, but I discovered it last year. I got a ""new"" Logitech Bluetooth keyboard, but it didn't contain a unifying receiver. So, I dreaded doing it, but I decided to send it back, even though getting a receiver would cost $10. \n\nI noticed one of the shipping options was an Amazon locker. And there happened to be one close to me, in the mall downtown in Indianapolis. So I chose this option, drove down to the mall after 8pm (free street parking) and set off to try and find the thing. \n\nIt said it was in the Carson Pirie Scott, which is fine, except that it's the biggest store in the mall, at 3-4 floors.  It wound up being on the 3rd floor behind the boys section, in a room. I looked, but there was no sign saying, ""Beware of the Leopard"" outside that room.\n\nI walked up, I scanned my package (with a new return label on the outside) and it opened a door for me to put it in. But it was too small. They had thought of this, and I pushed a button, closed the door, and a bigger door opened and I fit my package in.  All in all, a neat experience. But if it is out of the way, even like this (I don't do malls, really) it's almost too much of a hassle. \n\nLooking now, and Amazon now has 8 places in the Indianapolis area, one is pretty close to where I work.  NOW I would definitely use it again.", ,William Eby,0.9222,3.5000000000000004,87.2,9.3,2017-03-25 03:20:41,2017-03-25 03:20:41
Who is here in 2017?, ,P Tr,0.0,0.0,100.0,0.0,2017-03-12 18:15:26,2017-03-12 18:15:26
"Just ordered from Amazon and have selected The Locker option. Think im more excited about using the Locker than the item ive ordered, lol.", ,Dash Cam Das,0.7346,0.0,74.5,25.5,2017-01-26 23:27:35,2017-01-26 23:27:35
Same here lol \U0001f605, ,Rachael,0.4215,0.0,51.7,48.3,2018-10-29 22:07:14,2018-10-29 22:07:14
Hahahaha, ,MegaAgente17,0.0,0.0,100.0,0.0,2017-12-07 08:08:38,2017-12-07 08:08:38
Nice video. Thank you., ,JLA The Tub And,0.6486,0.0,27.400000000000002,72.6,2016-12-26 15:00:54,2016-12-26 15:00:54
The Amazon Locker near my house is named Gaia., ,Zack Schmiesing,0.1779,0.0,82.5,17.5,2016-12-15 05:44:13,2016-12-15 05:44:13
Zack Schmiesing chese, ,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:30:26,2017-01-29 16:30:26
"Yeah, it's nice until the fucking thing is broken. Ordering from Amazon will always be a hassle until they finally give us a damn warehouse to pick our shit up from.", ,Wacko Bird,-0.6077,24.5,58.4,17.0,2016-12-07 07:52:12,2016-12-07 07:52:12
Amazon locker sucks!UPS won't deliver my package \U0001f4e6. It fails every time!, ,Michael Ennis,-0.3987,22.400000000000002,66.3,11.3,2016-12-06 16:45:50,2016-12-06 16:45:50
I'm afraid people might follow me to my car., ,Native2458,0.0,0.0,100.0,0.0,2016-12-03 21:44:18,2016-12-03 21:44:18
"If your in the States have a gun in your car or bring a switch blade, hope for the best everyday but prepare for the worst", ,00 9X,-0.5859,23.0,62.7,14.299999999999999,2019-03-05 04:17:49,2019-03-05 04:17:49
"@Aurelius R Are you serious????? FUCK the groceries SNOWFLAKE! Its about ridding the World of a asshole!!!! I'm a white guy ,no record....I'll be hailed as a HERO dufuss! what planet do YOU live on! :(", ,James Darr,-0.7374,25.6,60.4,13.900000000000002,2019-03-01 06:05:16,2019-03-01 06:06:45
@James Darr lol. wait until you end up in jail for life for murder. I bet defending that $20 of groceries was totally worth killing someone, ,Aurelius R,-0.7495,26.5,59.4,14.099999999999998,2019-03-01 06:01:30,2019-03-01 06:01:30
@James Darr - I was gonna tell him to get a gun too but I see the conversation went sour lol\n@James Ulibarri - Nothing morally wrong with carrying a gun. Just use it responsibly., ,Attack Helicopter,-0.1202,14.499999999999998,75.5,10.100000000000001,2019-01-20 03:04:59,2019-01-20 03:06:30
@James Ulibarri Stupid is as stupid does.....I NEVER get robbed or F-ed with in ANY way.....I Guess that's stupid??????? Oh well....., ,James Darr,-0.8299,28.999999999999996,71.0,0.0,2018-12-28 22:43:35,2018-12-28 22:43:35
"@James Darr I don't carry a gun, stupid.  Speak for yourself.", ,James Ulibarri,0.5875,0.0,59.3,40.699999999999996,2018-12-28 21:22:41,2018-12-28 21:22:41
"LOL! Then do like we Americans do! Carry a gun,and blow their head off if they cause any problems! Why live in ridiculous fear?????", ,James Darr,0.5674,16.2,59.199999999999996,24.5,2018-12-24 19:43:13,2018-12-24 19:43:13
"Are you afraid when you buy stuff from the regular store too, and sleeping with the lights out at night?  Lame.", ,James Ulibarri,-0.4215,12.3,87.7,0.0,2018-10-30 05:31:06,2018-10-30 05:31:06
Australia post has Parcel lockers as well, ,tim gladman,0.2732,0.0,74.1,25.900000000000002,2016-11-26 00:51:10,2016-11-26 00:51:10
Amazon saves the day!, ,V8 Addiction,0.2481,0.0,60.099999999999994,39.900000000000006,2016-11-20 19:46:28,2016-11-20 19:46:28
"in germany we have these similar lockers set up called ""packstation"" and they work with any onlineshop.", ,Andrzej Duda,0.0,0.0,100.0,0.0,2016-11-18 22:22:23,2016-11-18 22:22:23
in germany we also have amazon locker you dumbass bitch, ,sam n\xf6,-0.7717,46.0,43.5,10.6,2017-08-19 13:15:22,2017-08-19 13:15:22
Only if they are sending with DHL., ,Nom Nom,0.0,0.0,100.0,0.0,2017-07-16 21:35:03,2017-07-16 21:35:03
"I don't know how it is now in 2016, but here in Finland we have those locker things, and they work with almost whatever website you bought your shit from, at least the more popular ones.", ,MP-Fin,-0.1927,11.700000000000001,78.5,9.8,2016-11-16 17:54:10,2016-11-16 17:54:10
Great way to get your stolen goods sent to a locker box, ,Captain Howdy,0.2263,19.6,55.2,25.2,2016-10-27 13:10:26,2016-10-27 13:10:26
Sounds like James May, ,Dx Fire,0.3612,0.0,54.50000000000001,45.5,2016-10-27 07:42:57,2016-10-27 07:42:57
Dx FireL..lol. ..I love James May On Top Gear!!, ,HoneyJazz29,0.3786,24.099999999999998,36.199999999999996,39.7,2016-11-19 22:14:44,2016-11-19 22:14:44
I just found out about amazon locker as Oct 2016. And  I have been an occasion amazon buyer since 2004. lol, ,Song,0.6369,0.0,72.1,27.900000000000002,2016-10-04 06:06:33,2016-10-04 06:06:33
Use Wayback Machine, ,Shawn D,0.0,0.0,100.0,0.0,2017-10-25 00:27:36,2017-10-25 00:27:36
I was curious and recently looked at my order history and found that I ordered The Eminem Show in 2003 from Amazon...wonder what the website looked like then., ,Nans Florent,0.5859,0.0,83.3,16.7,2017-10-23 22:17:05,2017-10-23 22:17:05
Song Li there was amazon in 2004? lol, ,Skynet Cyborg,0.5423,0.0,57.099999999999994,42.9,2017-10-18 19:03:14,2017-10-18 19:03:14
Andr\xe9s Mm mkdmsmdmsew, ,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:31:51,2017-01-29 16:31:51
Onmysheet kjo, ,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:31:33,2017-01-29 16:31:33
Is the \xa31.99 locker delivery included with the standard delivery?, ,Secret Guy,0.0,0.0,100.0,0.0,2016-12-01 12:56:11,2016-12-01 12:56:11
Same :(, ,Andr\xe9s Maya,-0.4404,74.4,25.6,0.0,2016-10-21 01:28:35,2016-10-21 01:28:35
Couldn't underage people just use this to order stuff, ,EDM Unity,0.0,0.0,100.0,0.0,2016-09-28 15:06:50,2016-09-28 15:06:50
EDM Unity maybe there should be a thing where you have to scan your ID to buy things like that idk., ,\u05e7\u05de\u05e8\u05d5\u05dfSnipethemapples\u05e7\u05de\u05e8\u05d5\u05df,0.2732,6.4,82.19999999999999,11.4,2018-06-03 19:00:35,2018-06-03 19:00:35
yah i used it to order a vibrator lol, ,jay johnson,0.4215,0.0,68.2,31.8,2017-09-11 01:28:17,2017-09-11 01:28:17
JuugMoney the delivery guy won't even know what's in the box, ,Rico G,0.0,0.0,100.0,0.0,2017-03-28 12:36:40,2017-03-28 12:36:40
"JuugMoney When I bought my box mod the delivery guy asked for some ID, i think it just depends on the delivery company because you get into some real nifty laws about giving nicotine products to kids", ,Ahoyhoy,0.6249,0.0,86.6,13.4,2016-10-27 10:26:17,2016-10-27 10:26:17
NightcoreUnity Im pretty sure the delivery guy wont be able to tell your age, ,JuugMoney,0.6705,0.0,68.60000000000001,31.4,2016-10-25 00:25:22,2016-10-25 00:25:22
i mean if someone wanted to buy something like an e cig or somthing, ,EDM Unity,0.3612,0.0,81.5,18.5,2016-10-24 22:04:01,2016-10-24 22:04:01
NightcoreUnity You dont have to be 18 to buy on amazon Lol, ,JuugMoney,0.5423,0.0,69.0,31.0,2016-10-24 02:02:09,2016-10-24 02:02:09
"Same! I'm in the middle of moving, and I don't want the package ending up at my old place, so I decided to try using a locker for the first time ever. Hopefully the US version is as easy as the UK one. (I should find out tomorrow or the next day.)", ,Thistlechaser,0.6878,2.3,86.6,11.1,2016-09-22 04:06:31,2016-09-22 04:06:31
